epoch,loss
612,1.2084
614,1.0293
615,1.1802
617,1.0647
618,1.0947
620,1.0282
621,1.0817
623,1.2290
624,1.1381
626,1.0204
628,1.0538
629,1.0122
631,1.0468
632,1.0657
634,0.9932
635,1.0638
637,1.1754
639,1.0215
640,0.9680
642,1.1002
643,1.1813
645,0.9599
646,0.9431
648,1.1246
649,0.8440
651,0.9673
653,0.9060
654,1.0712
656,0.9000
657,1.0626
659,0.9003
660,1.0946
662,0.9442
664,1.1015
665,1.0204
667,1.0998
668,1.0050
670,1.2185
671,1.0794
673,1.0635
674,1.0232
676,1.0629
678,1.2182
679,0.9502
681,1.0411
682,1.0372
684,1.1658
685,1.1224
687,0.9523
689,1.1632
690,0.9939
692,1.0009
693,1.0513
695,0.9862
696,0.9916
698,0.9256
699,0.8483
701,0.9965
703,1.0041
704,1.1224
706,1.0172
707,1.1563
709,1.0521
710,0.9940
712,0.9880
714,1.0235
715,0.9664
717,0.9312
718,1.0709
720,1.0718
721,0.9811
723,0.9248
724,1.0805
726,1.0795
728,0.8755
729,1.2171
731,0.9731
732,1.0237
734,1.1522
735,1.0413
737,0.9920
739,0.9900
740,0.9857
742,1.0562
743,1.1962
745,1.0805
746,0.9482
748,1.2943
749,0.9124
751,1.0344
753,1.0713
754,1.1315
756,0.9398
757,1.2409
759,1.0471
760,1.1977
762,1.0854
764,0.9965
765,0.9181
767,1.0459
768,1.1264
770,0.9593
771,1.0372
773,0.9259
774,0.8875
776,0.9802
778,1.2024
779,1.2065
781,1.0750
781,1.0750
782,1.1792
784,1.0517
785,0.9132
787,1.0861
789,0.9672
790,1.1447
792,0.9870
793,1.1612
795,1.1043
796,0.9847
798,1.1110
799,1.0367
801,1.1564
803,1.1195
804,1.1945
806,1.1434
807,1.0866
809,0.8979
810,1.0382
812,0.9665
814,1.0548
815,1.3120
817,1.0289
818,0.9117
820,1.0268
821,1.1395
823,1.3075
824,1.0140
826,0.9894
828,1.1997
829,1.0526
831,0.9440
832,0.9771
834,1.0251
835,1.2254
837,1.0248
839,1.2040
840,1.2562
842,1.0775
843,1.0337
845,0.9896
846,0.9303
848,1.0635
849,0.9732
851,1.0321
853,1.0556
854,0.9808
856,1.0395
857,0.9690
859,1.0888
860,1.0041
862,1.0538
864,1.0047
865,1.0584
867,1.0883
868,1.0236
870,0.8699
871,1.0729
873,1.0294
874,1.0259
876,1.0564
878,1.1640
879,0.9447
881,0.9824
882,1.1854
884,1.2772
885,1.0130
887,1.1012
889,1.0838
890,1.2537
892,1.0943
893,0.9855
895,0.9883
896,1.0795
898,0.9001
899,0.9949
901,1.0329
903,0.9560
904,0.8729
906,1.0746
907,1.0755
909,1.0860
910,0.9437
912,0.9604
914,0.9913
915,1.0359
917,0.9935
918,1.0225
920,1.0501
921,1.2338
923,1.1195
924,1.3474
926,0.9373
928,1.1602
929,0.9584
931,1.1326
932,0.9642
934,1.0536
935,1.0542
937,0.9451
939,0.9953
940,1.0211
942,1.0083
943,0.9848
945,1.2717
946,1.1174
948,1.0612
949,0.9985
951,1.0771
953,1.0612
954,0.9430
956,1.0641
957,1.2126
959,0.8866
960,1.1173
962,1.0726
964,1.0782
965,0.9729
967,1.1174
968,1.1872
970,0.9420
971,1.0409
973,1.2128
974,1.0052
976,0.9115
978,1.1141
979,0.9972
981,1.2178
982,0.9877
984,0.8596
985,0.9726
987,1.2146
989,1.0106
990,1.0790
992,1.0066
993,0.8371
995,1.0673
996,1.0087
998,1.0085
999,0.9897
1001,1.0606
1003,1.1656
1004,0.9405
1006,1.2636
1007,1.0827
1009,0.8718
1010,1.1427
1012,1.0566
1014,0.9161
1015,1.0998
1017,0.9814
1018,1.0934
1020,1.0039
1021,1.1233
1023,1.1924
1024,0.9188
1026,0.9998
1028,1.1397
1029,1.0392
1031,0.9692
1032,1.1315
1034,1.2189
1035,1.0284
1037,1.0958
1039,1.1135
1040,1.0385
1042,1.0855
1043,0.9133
1045,0.9554
1046,1.0312
1048,0.9469
1049,0.8966
1051,0.9995
1053,1.0744
1054,1.1420
1056,1.1902
1057,0.8419
1059,0.9331
1060,1.1403
1062,0.9521
1064,1.0236
1065,1.2038
1067,1.0273
1068,0.9984
1070,1.1702
1071,1.0098
1073,1.2245
1074,0.9782
1076,1.0178
1078,1.0600
1079,1.0227
1081,0.9994
1082,1.0749
1084,1.2318
1085,1.1627
1087,1.1006
1089,0.9520
1090,1.1741
1092,1.2062
1093,1.0828
1095,1.1945
1096,1.2829
1098,1.0113
1099,1.0518
1101,1.0668
1103,1.1516
1104,1.0641
1106,1.0187
1107,0.9309
1109,1.0063
1110,1.0003
1112,1.1930
1114,0.9789
1115,1.1243
1117,0.8869
1118,0.8903
1120,1.1120
1121,0.9890
1123,1.1012
1124,1.0033
1126,1.1825
1128,0.8908
1129,1.0864
1131,1.1556
1132,1.0555
1134,0.9525
1135,1.0534
1137,1.1990
1139,0.9018
1140,1.2399
1142,1.0624
1143,1.3066
1145,1.0294
1146,0.9081
1148,1.0733
1149,1.2638
1151,1.0647
1153,0.8533
1154,0.9712
1156,1.1499
1157,1.3455
1159,1.2938
1160,1.1248
