epoch,loss
1,1.1264
3,1.1060
4,1.1068
6,1.1206
7,1.1006
9,1.1362
10,1.0784
12,1.1183
14,1.1012
15,1.0793
17,1.1060
18,1.1122
20,1.1230
21,1.0449
23,1.0697
24,1.0185
26,1.1301
28,1.0992
29,1.0343
31,1.0743
32,1.0138
34,1.0398
35,1.0555
37,1.0856
39,1.0325
40,1.1492
42,1.0159
43,1.0775
45,1.0444
46,1.0411
48,1.0452
49,1.0593
51,1.0658
53,0.9891
54,1.0515
56,1.0805
57,1.0755
59,1.0293
60,1.0449
62,1.0583
64,1.0446
65,1.0051
67,1.3013
68,1.1139
70,1.0089
71,1.0304
73,1.0507
74,0.9927
76,1.0157
78,1.0393
79,1.0135
81,1.0582
82,1.0678
84,1.0546
85,1.0144
87,0.9604
89,0.9979
90,1.0059
92,1.0000
93,0.9249
95,1.0516
96,1.1053
98,0.9559
99,1.0048
101,1.0298
103,1.0394
104,1.0043
106,0.9718
107,1.0246
109,1.0573
110,0.9842
112,1.1426
114,1.0153
115,1.0116
117,1.0162
118,1.1915
120,1.0868
121,0.6818
123,1.0158
124,1.1339
126,0.9622
128,0.9957
129,1.0361
131,1.0691
132,1.0234
134,1.0567
135,1.0109
137,1.0378
139,0.9400
140,1.0851
142,1.0092
143,0.9776
145,1.0444
146,1.0039
148,1.0737
149,1.1814
151,1.0255
153,1.1355
154,1.0659
156,1.0351
157,1.0381
159,0.9685
160,1.0531
162,1.0048
164,0.9988
165,1.0231
167,1.0634
168,1.0339
170,1.0049
171,1.0175
173,0.9754
174,1.0534
176,1.0580
178,1.0193
179,0.9944
181,1.0256
182,1.0647
184,1.0648
185,1.0057
187,0.9535
189,1.0620
190,1.0634
192,0.9976
193,0.9833
195,1.0149
196,1.1775
198,1.0199
199,0.9589
201,1.1320
203,0.9624
204,1.0547
206,1.0484
207,1.0197
209,1.0981
210,1.0243
212,1.0054
214,1.1072
215,1.0834
217,1.0409
218,1.0080
220,1.0399
221,0.9571
223,1.0620
224,1.0783
226,1.0037
228,1.0436
229,1.0410
231,0.8805
232,1.0465
234,1.1418
235,1.1498
237,1.0290
239,1.0133
240,0.9925
242,1.0773
243,1.1077
245,1.2257
246,1.0333
248,1.1310
249,0.9920
251,1.0149
253,0.9712
254,1.1294
256,1.0870
257,1.1231
259,1.0425
260,1.0143
262,1.0434
264,1.1296
265,0.9666
267,1.2099
268,0.9083
270,1.0316
271,0.9398
273,1.0585
274,1.0349
276,1.1140
278,0.8843
279,1.1318
281,1.0152
282,1.0179
284,1.1097
285,1.0040
287,0.9569
289,1.0676
290,1.0143
292,1.0743
293,1.0191
295,1.0680
296,1.0393
298,1.0509
299,0.9949
301,0.9974
303,1.0767
304,1.3449
306,1.1778
307,1.1289
309,0.8349
310,0.9583
312,1.0122
314,0.9962
315,0.9920
317,1.0982
318,1.0841
320,1.1614
321,1.0680
323,0.9857
324,1.0473
326,1.1074
328,1.0397
329,0.9737
331,1.1117
332,1.0292
334,1.1093
335,1.0066
337,0.9758
339,0.9821
340,1.0213
342,1.0149
343,1.0475
345,1.1075
346,0.9126
348,1.0544
349,1.0223
351,1.0295
353,1.0068
354,1.0219
356,1.0697
357,1.0160
359,1.1641
360,1.1327
362,1.0890
364,0.9839
365,1.1576
367,0.9459
368,0.9993
370,1.1873
371,1.1202
373,1.0952
374,0.9049
376,0.9952
378,1.0413
379,0.7962
381,1.0148
382,0.9274
384,1.0166
385,1.1036
387,1.1710
389,1.0576
390,0.8770
392,0.9296
393,1.0272
395,1.0183
396,1.0614
398,1.0584
399,0.9181
401,1.0249
403,0.9934
404,1.0991
406,1.0757
407,1.0704
409,1.0883
410,1.0614
412,1.0938
414,0.9616
415,1.0480
417,0.9627
418,1.0404
420,0.9627
421,1.0447
423,1.1423
424,1.0164
426,0.9976
428,1.0436
429,1.0100
431,1.0976
432,1.0004
434,1.2565
435,1.1508
437,1.0148
439,0.9469
440,1.1420
442,1.0957
443,1.0928
445,0.9154
446,1.0813
448,1.0294
449,1.1640
451,1.2842
453,0.9125
454,1.0979
456,1.2637
457,1.0870
459,1.0615
460,1.1071
462,0.9137
464,0.9765
465,1.1821
467,1.0769
468,1.0291
470,1.1262
471,1.0603
473,0.8691
474,1.0270
476,1.0140
478,1.0857
479,1.0013
481,0.8015
482,1.0817
484,0.9780
485,1.0914
487,1.0615
489,1.1629
490,1.0021
492,1.0908
493,1.1774
495,0.9660
496,1.0654
498,0.9059
499,1.0816
501,1.0074
503,1.1141
504,1.0561
506,1.1014
507,0.9086
509,1.1149
510,1.0379
512,1.0724
514,1.0691
515,0.9694
517,1.1460
518,1.1616
520,1.1554
521,1.0024
523,0.8727
524,1.0729
526,1.0794
528,0.9921
529,1.1073
531,1.1623
532,1.0949
534,1.0523
535,1.2128
537,0.9698
539,1.2069
540,1.1509
542,0.9098
543,0.9140
545,1.0028
546,1.1412
548,1.0780
549,0.9744
551,1.0502
553,1.1706
554,0.9532
556,0.9739
557,0.9676
559,0.9566
560,0.9706
562,1.1044
564,1.0438
565,0.9695
567,0.9567
568,1.1064
570,1.0479
571,0.9086
573,1.0879
574,1.0909
576,1.1182
578,1.0507
579,1.1156
581,0.9240
582,0.9438
584,1.0329
585,0.9742
587,0.9871
589,0.8308
590,1.0734
592,0.9659
593,1.1151
595,1.0085
596,0.9869
598,0.8437
599,0.9246
601,1.0840
603,1.0894
604,1.0807
606,0.9281
607,0.9315
609,1.0158
610,1.0539
