epoch,loss_d,loss_g
415,1.8068,1.0480
417,1.8088,0.9627
418,1.8443,1.0404
420,1.7628,0.9627
421,1.8165,1.0447
423,1.7532,1.1423
424,1.7594,1.0164
426,1.7659,0.9976
428,1.7837,1.0436
429,1.7874,1.0100
431,1.8040,1.0976
432,1.8203,1.0004
434,1.8319,1.2565
435,1.7544,1.1508
437,1.8220,1.0148
439,1.7806,0.9469
440,1.8054,1.1420
442,1.7703,1.0957
443,1.8181,1.0928
445,1.8202,0.9154
446,1.8155,1.0813
448,1.7690,1.0294
449,1.7557,1.1640
451,1.8375,1.2842
453,1.8029,0.9125
454,1.8207,1.0979
456,1.8571,1.2637
457,1.8047,1.0870
459,1.7158,1.0615
460,1.8075,1.1071
462,1.8199,0.9137
464,1.7608,0.9765
465,1.7872,1.1821
467,1.7471,1.0769
468,1.7764,1.0291
470,1.8099,1.1262
471,1.8100,1.0603
473,1.8343,0.8691
474,1.7230,1.0270
476,1.7730,1.0140
478,1.7438,1.0857
479,1.7546,1.0013
481,1.9514,0.8015
482,1.8172,1.0817
484,1.8084,0.9780
485,1.7478,1.0914
487,1.7949,1.0615
489,1.7512,1.1629
490,1.7666,1.0021
492,1.7960,1.0908
493,1.8105,1.1774
495,1.7820,0.9660
496,1.7648,1.0654
498,1.7867,0.9059
499,1.7060,1.0816
501,1.7922,1.0074
503,1.7497,1.1141
504,1.7378,1.0561
506,1.7878,1.1014
507,1.8286,0.9086
509,1.7868,1.1149
510,1.7701,1.0379
512,1.7641,1.0724
514,1.8074,1.0691
515,1.7838,0.9694
517,1.7760,1.1460
518,1.8251,1.1616
520,1.7898,1.1554
521,1.7521,1.0024
523,1.7938,0.8727
524,1.7060,1.0729
526,1.8127,1.0794
528,1.7789,0.9921
529,1.7882,1.1073
531,1.7160,1.1623
532,1.7852,1.0949
534,1.7554,1.0523
535,1.7510,1.2128
537,1.7515,0.9698
539,1.7998,1.2069
540,1.8330,1.1509
542,1.8016,0.9098
543,1.8014,0.9140
545,1.8076,1.0028
546,1.7780,1.1412
548,1.7805,1.0780
549,1.7191,0.9744
551,1.7587,1.0502
553,1.8091,1.1706
554,1.7771,0.9532
556,1.7738,0.9739
557,1.7639,0.9676
559,1.8334,0.9566
560,1.7676,0.9706
562,1.7494,1.1044
